MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,YearBuilt,RoofStyle,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,HalfBath,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition,SalePrice,Age,RemodAge,DateSold,TotalBath
ExpensiveZone,65.0,8450,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,7,2003,CheapRoofStyle,ExpensiveExterior,BrkFace,196.0,Gd,ExpensiveFoundation,Gd,No,GLQ,150,856,Ex,Y,SBrkr,854,1710,1,Gd,0,ExpensiveGarage,RFn,2,Y,0,61,CheapType,Others,208500,5,5,2008-02-01,3
ExpensiveZone,80.0,9600,Regular,CheapConfig,ExpensiveNeighborhood,CheapCondition,ExpensiveType,MiddleStyle,6,1976,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,Gd,Yes,Other,284,1262,Ex,Y,SBrkr,0,1262,0,TA,1,ExpensiveGarage,RFn,2,Y,298,0,CheapType,Others,181500,31,31,2007-05-01,2
ExpensiveZone,68.0,11250,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,7,2001,CheapRoofStyle,ExpensiveExterior,BrkFace,162.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,434,920,Ex,Y,SBrkr,866,1786,1,Gd,1,ExpensiveGarage,RFn,2,Y,0,42,CheapType,Others,223500,7,6,2008-09-01,3
ExpensiveZone,60.0,9550,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,7,1915,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,540,756,Others,Y,SBrkr,756,1717,0,Gd,1,CheapGarage,Unf,3,Y,0,35,CheapType,Others,140000,91,36,2006-02-01,2
ExpensiveZone,84.0,14260,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,8,2000,CheapRoofStyle,ExpensiveExterior,BrkFace,350.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,490,1145,Ex,Y,SBrkr,1053,2198,1,Gd,1,ExpensiveGarage,RFn,3,Y,192,84,CheapType,Others,250000,8,8,2008-12-01,3
ExpensiveZone,85.0,14115,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,5,1993,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,Gd,No,GLQ,64,796,Ex,Y,SBrkr,566,1362,1,TA,0,ExpensiveGarage,Unf,2,Y,40,30,CheapType,Others,143000,16,14,2009-10-01,2
ExpensiveZone,75.0,10084,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,2004,CheapRoofStyle,ExpensiveExterior,Stone,186.0,Gd,ExpensiveFoundation,Ex,Yes,GLQ,317,1686,Ex,Y,SBrkr,0,1694,0,Gd,1,ExpensiveGarage,RFn,2,Y,255,57,CheapType,Others,307000,3,2,2007-08-01,3
ExpensiveZone,69.0,10382,Irregular,CheapConfig,MiddleNeighborhood,ExpensiveCondition,ExpensiveType,ExpensiveStyle,7,1973,CheapRoofStyle,MiddleExterior,Stone,240.0,TA,CheapFoundation,Gd,Yes,Other,216,1107,Ex,Y,SBrkr,983,2090,1,TA,2,ExpensiveGarage,RFn,2,Y,235,204,CheapType,Others,200000,36,36,2009-11-01,3
MiddleZone,51.0,6120,Regular,CheapConfig,CheapNeighborhood,CheapCondition,ExpensiveType,CheapStyle,7,1931,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,952,952,Others,Y,Other,752,1774,0,TA,2,CheapGarage,Unf,2,Y,90,0,CheapType,Others,129900,77,58,2008-04-01,2
ExpensiveZone,50.0,7420,Regular,CheapConfig,CheapNeighborhood,CheapCondition,CheapType,CheapStyle,5,1939,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,GLQ,140,991,Ex,Y,SBrkr,0,1077,0,TA,2,ExpensiveGarage,RFn,1,Y,0,4,CheapType,Others,118000,69,58,2008-01-01,2
ExpensiveZone,70.0,11200,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1965,ExpensiveRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,134,1040,Ex,Y,SBrkr,0,1040,0,TA,0,CheapGarage,Unf,1,Y,0,0,CheapType,Others,129500,43,43,2008-02-01,2
ExpensiveZone,85.0,11924,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,9,2005,ExpensiveRoofStyle,MiddleExterior,Stone,286.0,Ex,ExpensiveFoundation,Ex,No,GLQ,177,1175,Ex,Y,SBrkr,1142,2324,0,Ex,2,ExpensiveGarage,Fin,3,Y,147,21,ExpensiveType,Partial,345000,1,0,2006-07-01,4
ExpensiveZone,69.0,12968,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1962,ExpensiveRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,175,912,Others,Y,SBrkr,0,912,0,TA,0,CheapGarage,Unf,1,Y,140,0,CheapType,Others,144000,46,46,2008-09-01,2
ExpensiveZone,91.0,10652,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,7,2006,CheapRoofStyle,ExpensiveExterior,Stone,306.0,Gd,ExpensiveFoundation,Gd,Yes,Other,1494,1494,Ex,Y,SBrkr,0,1494,0,Gd,1,ExpensiveGarage,RFn,3,Y,160,33,ExpensiveType,Partial,279500,1,0,2007-08-01,2
ExpensiveZone,69.0,10920,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1960,ExpensiveRoofStyle,CheapExterior,BrkFace,212.0,TA,CheapFoundation,TA,No,Other,520,1253,Others,Y,SBrkr,0,1253,1,TA,1,ExpensiveGarage,RFn,1,Y,0,213,CheapType,Others,157000,48,48,2008-05-01,2
MiddleZone,51.0,6120,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,7,1929,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,832,832,Ex,Y,Other,0,854,0,TA,0,CheapGarage,Unf,2,Y,48,112,CheapType,Others,132000,78,6,2007-07-01,1
ExpensiveZone,69.0,11241,Irregular,ExpensiveConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1970,CheapRoofStyle,CheapExterior,BrkFace,180.0,TA,CheapFoundation,TA,No,Other,426,1004,Ex,Y,SBrkr,0,1004,0,TA,1,ExpensiveGarage,Fin,2,Y,0,0,CheapType,Others,149000,40,40,2010-03-01,2
ExpensiveZone,72.0,10791,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,CheapType,MiddleStyle,4,1967,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,0,0,Others,Y,SBrkr,0,1296,0,TA,0,CheapGarage,Unf,2,Y,0,0,CheapType,Others,90000,39,39,2006-10-01,2
ExpensiveZone,66.0,13695,Regular,CheapConfig,MiddleNeighborhood,CheapCondition,ExpensiveType,MiddleStyle,5,2004,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,TA,No,GLQ,468,1114,Ex,Y,SBrkr,0,1114,1,Gd,0,CheapGarage,Unf,2,Y,0,102,CheapType,Others,159000,4,4,2008-06-01,2
ExpensiveZone,70.0,7560,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1958,ExpensiveRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,525,1029,Others,Y,SBrkr,0,1339,0,TA,0,ExpensiveGarage,Unf,1,Y,0,0,CheapType,Others,139000,51,44,2009-05-01,1
ExpensiveZone,101.0,14215,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,8,2005,CheapRoofStyle,ExpensiveExterior,BrkFace,380.0,Gd,ExpensiveFoundation,Ex,Yes,Other,1158,1158,Ex,Y,SBrkr,1218,2376,1,Gd,1,ExpensiveGarage,RFn,3,Y,240,154,ExpensiveType,Partial,325300,1,0,2006-11-01,3
MiddleZone,57.0,7449,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,7,1930,CheapRoofStyle,CheapExterior,None,0.0,TA,ExpensiveFoundation,TA,No,Other,637,637,Ex,Y,Other,0,1108,0,Gd,1,ExpensiveGarage,Unf,1,Other,0,0,CheapType,Others,139400,77,57,2007-06-01,1
ExpensiveZone,75.0,9742,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,2002,ExpensiveRoofStyle,ExpensiveExterior,BrkFace,281.0,Gd,ExpensiveFoundation,Gd,No,Other,1777,1777,Ex,Y,SBrkr,0,1795,0,Gd,1,ExpensiveGarage,RFn,2,Y,171,159,CheapType,Others,230000,6,6,2008-09-01,2
MiddleZone,44.0,4224,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1976,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,Gd,No,GLQ,200,1040,Others,Y,SBrkr,0,1060,0,TA,1,ExpensiveGarage,Unf,2,Y,100,110,CheapType,Others,129900,31,31,2007-06-01,2
